campaign_id,sku,impressions,clicks,spend,conversions
CAMP_882_CRITICAL,SKU_FAST_CHARGE_20W,25362,1409,5075218.0,14
CAMP_882_CRITICAL,SKU_FAST_CHARGE_20W,13222,601,2446671.0,6
CAMP_882_CRITICAL,SKU_FAST_CHARGE_20W,56430,1485,8513505.0,17
CAMP_882_CRITICAL,SKU_FAST_CHARGE_20W,36652,1309,4751670.0,16
CAMP_882_CRITICAL,SKU_FAST_CHARGE_20W,6111,291,1295532.0,2
CAMP_101_NORMAL,SKU_IPHONE_CASE_CLEAR,19980,1332,2096568.0,63
CAMP_101_NORMAL,SKU_IPHONE_CASE_CLEAR,52910,1430,2227940.0,51
CAMP_101_NORMAL,SKU_IPHONE_CASE_CLEAR,15979,551,883253.0,23
CAMP_101_NORMAL,SKU_IPHONE_CASE_CLEAR,4407,113,131419.0,4
CAMP_101_NORMAL,SKU_IPHONE_CASE_CLEAR,18308,796,922564.0,37
CAMP_204_WARNING,SKU_WIRELESS_EARBUDS,14202,789,1652166.0,15
CAMP_204_WARNING,SKU_WIRELESS_EARBUDS,7748,298,854366.0,5
CAMP_204_WARNING,SKU_WIRELESS_EARBUDS,30728,1336,3775536.0,32
CAMP_204_WARNING,SKU_WIRELESS_EARBUDS,33280,1040,2212080.0,20
CAMP_204_WARNING,SKU_WIRELESS_EARBUDS,8352,261,600300.0,4
CAMP_305_NORMAL,SKU_TYPEC_CABLE_2M,35516,1366,2173306.0,65
CAMP_305_NORMAL,SKU_TYPEC_CABLE_2M,3872,242,405834.0,11
CAMP_305_NORMAL,SKU_TYPEC_CABLE_2M,11764,692,856696.0,38
CAMP_305_NORMAL,SKU_TYPEC_CABLE_2M,20194,878,1285392.0,33
CAMP_305_NORMAL,SKU_TYPEC_CABLE_2M,11258,433,590179.0,20
CAMP_409_CRITICAL,SKU_POWERBANK_10000MAH,33856,1472,5581824.0,12
CAMP_409_CRITICAL,SKU_POWERBANK_10000MAH,28000,1400,7961800.0,14
CAMP_409_CRITICAL,SKU_POWERBANK_10000MAH,12586,434,2193436.0,4
CAMP_409_CRITICAL,SKU_POWERBANK_10000MAH,52170,1410,8151210.0,15
CAMP_409_CRITICAL,SKU_POWERBANK_10000MAH,29796,764,2848956.0,8
